.\datasets\images\10010052.jpg| A girl is on rollerskates talking on her cellphone standing in a parking lot .,,,,,,,,,| A trendy girl talking on her cellphone while gliding slowly down the street .,,,,,,,,,| A young adult wearing rollerblades , holding a cellular phone to her ear .,,,,,,,,| there is a young girl on her cellphone while skating .,,,,,,,,,| Woman talking on cellphone and wearing rollerskates .,,,,,,,,,
.\datasets\images\4195953639.jpg| A young child sleeps in an infant carrier and helmet , an adult with black pants and red shoes sitting nearby .,,,,,,,,| A toddler wearing winter clothes and a gray helmet with goggles naps while secured into a carrying-harness .,,,,,,,,,| A child is wrapped and bundled for cold weather in a child carrier sitting on the ground .,,,,,,,,,| A small child wearing a helmet is in a baby carrier that is on the floor .,,,,,,,,,| A child is asleep in his backpack carrier .,,,,,,,,,
.\datasets\images\4198839235.jpg| A young girl in a dress printed with Yellow and pink flowers and holding a respirator is holding a picture of a menorah and Christmas tree .,,,,,,,,,| A little girl having to stop her holiday artwork in a hospital room in order to breathe-in oxygen through a tube .,,,,,,,,,| A girl takes a break from her crafts to tend to her medical needs with an inhaler .,,,,,,,,,| A young hospitalized child decorates her medical apparatus for the holidays .,,,,,,,,,| A girl in a flower print shirt drawing .,,,,,,,,,
.\datasets\images\4199555.jpg| A man in a blue shirt with white stripes , sits on the side of the road with his thumb to his mouth by a wheelbarrow full of fruit and vegetables .,,,,,,,,| A man sits in front of a blue wheelbarrow full of produce , his thumb pressed against his mouth .,,,,,,,,| An elderly man sits in a street with a wheelbarrow full of vegetables in front of him .,,,,,,,,,| man in blue shirt sitting on the side of the road with a wheelbarrow of vegetables,,,,,,,,,| A man sits behind a wheelbarrow full of vegetables .,,,,,,,,,
.\datasets\images\4200402256.jpg| A person wearing a hat and a blue shirt carries their items on a bike in a marketplace .,,,,,,,,,| A man in a blue jacket is pushing a bicycle loaded with a potato type vegetables .,,,,,,,,,| A man in a tan hat and blue shirt walks a bike loaded with produce .,,,,,,,,,| Man in blue jacket sells cart of turnips in busy open market .,,,,,,,,,| A man in a blue shirt pushes a bicycle loaded with produce .,,,,,,,,,
.\datasets\images\4200405484.jpg| An open air market with many baskets of vegetables and some women sitting between them .,,,,,,,,,| A market offers a variety of fresh , colorful vegetables in the open air .,,,,,,,,| Women conversing while tending their produce in a market .,,,,,,,,,| Women workers in a produce market in a foreign land .,,,,,,,,,| Asian woman with baskets of colorful vegetables .,,,,,,,,,
.\datasets\images\4200930361.jpg| One white man and one african american man sitting at a long table that has colored note cards spread out on it .,,,,,,,,,| People looking over several colored pieces of paper spread on a table .,,,,,,,,,| Several people are sitting at a table looking at colored index cards .,,,,,,,,,| Two men read a bunch of colorful notes laid out on a table .,,,,,,,,,| Business ideas are scattered about a table in a meeting .,,,,,,,,,
.\datasets\images\4201328764.jpg| A man and woman stand next to a table covered in beer glasses and pitchers .,,,,,,,,,| A woman smiles for the camera while a man covers his face,,,,,,,,,| A couple at a party where the man is covering his face .,,,,,,,,,| A woman leaning her head on a man 's shoulder .,,,,,,,,,| A couple attending a party .,,,,,,,,,
.\datasets\images\4201783749.jpg| In a snowy residential environment , a man with a brown jacket and gray mustache and beard places a hand on a felled log while another man in a blue shirt is blurry on the right side of the photo .,,,,,,,,| A bearded white man in a beanie and yellow jacket stands next to a fallen tree while looking toward another man .,,,,,,,,,| Two lumberjacks stand next to a fallen tree that they have cut down in the middle of winter .,,,,,,,,,| Two men in winter clothes are cutting down a tree in a snowy neighborhood .,,,,,,,,,| A man stands over a recently chopped tree on a cold winter day .,,,,,,,,,
.\datasets\images\4201813513.jpg| A man in a black and blue jacket and a white helmet skiing down a hill swiftly .,,,,,,,,,| A skier with ski sticks is cutting into the snow as he makes a sharp turn .,,,,,,,,,| The skier in blue is turning and creating a dust cloud of snow behind him .,,,,,,,,,| A skier is coming down the slope and stirring up a lot of snow behind him .,,,,,,,,,| A skier is skiing downhill , making a turn .,,,,,,,,
.\datasets\images\4208450163.jpg| A man and a woman are standing next to a truck that has a very weak cloth covering it .,,,,,,,,,| Man and woman stand behind large truck in front of yellow house .,,,,,,,,,| Two people are talking outside of a yellow house .,,,,,,,,,| Man and a woman talk behind a large old truck .,,,,,,,,,| Two people in a foreign country talking .,,,,,,,,,
.\datasets\images\420900246.jpg| Romantic scene of a man kissing a woman with a guitar strapped on her back and water in the background .,,,,,,,,,| A sitting figure kisses a woman with a guitar on her back in front of a body of water .,,,,,,,,,| Two women standing on a platform by the water hugging .,,,,,,,,,| Two people overlooking a body of water are embracing .,,,,,,,,,| Two woman kissing by a river in a city .,,,,,,,,,
.\datasets\images\42093858.jpg| A girl wearing a black shirt and glasses is sitting in the back of a vehicle with her eyes closed .,,,,,,,,,| A woman with glasses lays her head back in a car with her eyes closed .,,,,,,,,,| A woman in a black shirt with glasses is resting in a vehicle .,,,,,,,,,| A female wearing glasses has her head tilted back .,,,,,,,,,| a woman sleeps in the back of a car .,,,,,,,,,
.\datasets\images\4213476956.jpg| An elderly woman wearing a blue hat is sitting on the sidewalk chopping something yellow on a board beside her .,,,,,,,,,| An elderly person is wearing a clue cap and brown jacket while sitting outside in front of a cutting board .,,,,,,,,,| woman sitting outside with a cutting board , knife and chopped up yellow food .,,,,,,,,| An old woman is chopping up food on the sidewalk .,,,,,,,,,| The woman in the blue hat is cutting food .,,,,,,,,,
.\datasets\images\421706022.jpg| A police officer stands between dragons in a Chinese New Year celebration .,,,,,,,,,| A man in black stands between two huge soft toys at a fairground .,,,,,,,,,| This policeman is standing in front of a ride at a carnival .,,,,,,,,,| a police officer in the middle of a parade,,,,,,,,,| A police officer keeps watch a parade .,,,,,,,,,
.\datasets\images\4220683018.jpg| A man is sitting in a brown chair with a woman sitting on his lap smiling for the camera .,,,,,,,,,| A woman is sitting in a man 's lap in a brown armchair .,,,,,,,,,| A smiling woman sitting on a smiling man 's lap .,,,,,,,,,| A woman is sitting on a man 's lap in a chair .,,,,,,,,,| A couple are sitting in a brown chair .,,,,,,,,,
.\datasets\images\422756764.jpg| a small dog with a blue color fetching a yellow ball,,,,,,,,,| A brown dog is chasing after a yellow ball .,,,,,,,,,| A brown dog is playing ball in a yard .,,,,,,,,,| A dog chases after a yellow ball .,,,,,,,,,| A puppy playing with a ball .,,,,,,,,,
.\datasets\images\4230694069.jpg| Young male hikers stop to take a rest at the rocky ledge of a mountain vista .,,,,,,,,,| A group of people are taking a rest on their hiking trip .,,,,,,,,,| The boys play on the rocks overlooking the valley .,,,,,,,,,| Three kids are hiking on a mountain .,,,,,,,,,| Three boys on a hiking trip .,,,,,,,,,
.\datasets\images\423167388.jpg| A man wearing a gray jacket is standing outside on a sidewalk and facing another man who has a large camera on a tripod while another man holds a white pad of paper .,,,,,,,,,| A camera crew is filming an older gentlemen wearing a long gray coat .,,,,,,,,,| Two men filming an older gentleman , while a fourth man watches .,,,,,,,,| A white man speaks in front of a camera on a sidewalk in a city .,,,,,,,,,| Four men are shooting a scene .,,,,,,,,,
.\datasets\images\4233715648.jpg| There are two people flying a red and blue parachute in a wide open space on a semi-cloudy day .,,,,,,,,,| Three people in an open outdoor area have just landed from a skydiving drip .,,,,,,,,,| Several people getting ready to glide in the sky with their para-gliders .,,,,,,,,,| Two people landing on the ground with red and blue parachutes .,,,,,,,,,| Two skydivers landing with their parachutes open .,,,,,,,,,
.\datasets\images\423375604.jpg| A woman with glasses with a large bag around her arm on a street surrounded by people .,,,,,,,,,| A woman wearing a white blouse is waiting to cross a busy street .,,,,,,,,,| A crowded street corner full of commuters .,,,,,,,,,| a woman in the city holds a big purse,,,,,,,,,| A woman walking down a crowded street,,,,,,,,,
.\datasets\images\4234824441.jpg| A few people walking with buildings and mountains in the background .,,,,,,,,,| An Asian woman walks across a bridge wearing a surgical mask .,,,,,,,,,| Five girls and two guys are crossing a overpass .,,,,,,,,,| Seven people walking across a bridge .,,,,,,,,,| People walking across a bridge .,,,,,,,,,
.\datasets\images\423485388.jpg| Two skydivers wearing blue and purple jumpsuits attempt to smile for the camera as they fall with the cloud and blue sky above them .,,,,,,,,,| Two men are bound together as they skydive in colorful jumpsuits .,,,,,,,,,| Two people jumping from a plane and about to release the chute .,,,,,,,,,| 2 guys are parachuting and are in midair .,,,,,,,,,| Two men having fun skydiving .,,,,,,,,,
.\datasets\images\4235671794.jpg| A basketball is up in the air above players on two teams , one team is wearing white and the other team is wearing navy blue .,,,,,,,,| A basketball game where many of them are gathered around the hoop and two have fallen to the ground on the right .,,,,,,,,,| Several men are watching a basketball moving toward the basket deciding if they should rebound the ball .,,,,,,,,,| A college basketball game being played in the Big Ten Conference .,,,,,,,,,| Basketball players waiting for a rebound .,,,,,,,,,
.\datasets\images\4236435111.jpg| A woman in white pants and floral top , a woman in dress with a brown jacket and another woman in a purple dress all hurry somewhere as the wind blows .,,,,,,,,| A woman in a blue-print blouse leaves a parking lot , followed by another woman .,,,,,,,,| Three women dressed up , smiling and walking in the wind .,,,,,,,,| Three women are walking across a gravel surface .,,,,,,,,,| Three dressed up women walking on a gravel road .,,,,,,,,,
.\datasets\images\423782935.jpg| One man is on a bulldozer pouring in a liquid , while another man is standing with his hand on the bulldozer watching .,,,,,,,,| A man wearing dark clothing leans on a bulldozer while watching another man who is on the bulldozer looking at a part .,,,,,,,,,| A man stands and watches another man add liquid to a compartment in the motor of a bulldozer .,,,,,,,,,| Two men standing near a piece of heavy equipment .,,,,,,,,,| Two men looking at a bulldozer .,,,,,,,,,
.\datasets\images\4241497330.jpg| A person wearing a bright green jacket , with a white helmet , red and blue backpack and goggles skis down a snowy mountainside .,,,,,,,| A skier is skiing down a mountain with snow covering trees in the background .,,,,,,,,,| A downhill skier wearing a lime green jacket and a white helmet .,,,,,,,,,| A man in a green jacket skies down a steep slope on fresh snow .,,,,,,,,,| A man is skiing down the snowy slopes .,,,,,,,,,
.\datasets\images\4246033943.jpg| A young man and woman are dancing in a brick courtyard .,,,,,,,,,| A young couple dancing outside in the courtyard .,,,,,,,,,| A couple very excited about what is going on .,,,,,,,,,| Two young flamenco dancers dance outdoors .,,,,,,,,,| A couple dancing outdoors .,,,,,,,,,
.\datasets\images\424830334.jpg| A young brown-haired girl in a long-sleeve white shirt and gray pants is playing with red wooden pegs at a park .,,,,,,,,,| A mother and her baby are at a park with both of them touching a part of an apparatus .,,,,,,,,,| A woman and child are at a park manipulating one of the toys there .,,,,,,,,,| A mother , teaching her baby girl .,,,,,,,,| Mother playing with her daughter,,,,,,,,,
.\datasets\images\4248543428.jpg| Women wearing winter coats crossing the street next to parked cars and walking down street,,,,,,,,,| Busy city street scene displaying pedestrians and automobile traffic .,,,,,,,,,| Two girls attempt to cross the street in a crowded Asian city .,,,,,,,,,| People are watching for traffic in front of a police car .,,,,,,,,,| Asian people walk on a busy sidewalk .,,,,,,,,,
.\datasets\images\4249864955.jpg| A little brown-haired boy wearing a red shirt and blue jeans is carrying a green truck .,,,,,,,,,| A boy is running through the yard happily , carrying a john deere toy tractor .,,,,,,,,| A boy in a red shirt holds a toy green tractor while standing out in a yard .,,,,,,,,,| A little boy wearing a red shirt , running .,,,,,,,,| A child wearing a red shirt playing .,,,,,,,,,
.\datasets\images\425077383.jpg| Two elementary school age boys playing with a dollhouse and toy firetruck along with two toddling girls in matching pink outfits .,,,,,,,,,| A small boy in a polo is playing with twin baby girls while another little boy is playing alone .,,,,,,,,,| Two young boys are playing with two toddler girls .,,,,,,,,,| Small children play with a toddler in a house .,,,,,,,,,| Toddlers playing with yellow ride on toy .,,,,,,,,,
.\datasets\images\4253675317.jpg| Several people are enjoying each other 's company at a house party .,,,,,,,,,| Small groups of people talk in separate rooms .,,,,,,,,,| two women staring at a party in the kitchen,,,,,,,,,| A house party full of young people .,,,,,,,,,| People gathered in a house talking .,,,,,,,,,
.\datasets\images\4254302719.jpg| A person , wearing a red coat and dark pants , is hiking down a snow covered hill .,,,,,,,| A snowshoer wearing a red jacket and black pants descends a snowy slope .,,,,,,,,,| A woman in red jacket is skiing up in the mountain in the snow .,,,,,,,,,| Skier in orange jacket , standing at the top of a hill,,,,,,,,| A woman with a red jacket skying over a mountain .,,,,,,,,,
.\datasets\images\4255627436.jpg| A construction worker in a hard hat , red shirt and yellow and orange vest operates a piece of machinery in front of palm trees .,,,,,,,,| A red hatted man is controlling a red machine to clear out the road , with blue skies and green tress behind him .,,,,,,,,| A construction worker wearing a red helmet and a yellow safety vest is manning a piece of heavy machinery .,,,,,,,,,| A worker in a red shirt and safety vest works with a machine outdoor .,,,,,,,,,| A construction worker in a red hard hat is working .,,,,,,,,,
.\datasets\images\4256380972.jpg| A man wearing rubber gloves and boots inspects a large piece of cloth that 's draped over a wet , stone structure .,,,,,,,,| A man in a red shirt and boots leans over brown cloth , surrounded by small , square pools of dirty water .,,,,,,,| A man wearing gloves and boots looks at some animal skins .,,,,,,,,,| Someone in a red shirt stacking many animal hides .,,,,,,,,,| Man inspects pieces of fabric .,,,,,,,,,
.\datasets\images\425642314.jpg| Four musicians , wearing Scottish garments , are playing instruments on the street - two accordion , one horn , and one clarinet .,,,,,| Four older men are playing musical instruments in a park by a wall in traditional costume .,,,,,,,,,| Four men dressed in a specific a traditional outfit while playing musical instruments .,,,,,,,,,| Four musicians wearing some kind of European garb are playing in the street .,,,,,,,,,| Four males playing music in a band .,,,,,,,,,
.\datasets\images\425725042.jpg| A man wearing a blue apron in a room filled with equipment performs a blurred action with what seems to be a pitcher .,,,,,,,,,| A man wearing an apron and a gray shirt is working in a white tiled area with some equipment .,,,,,,,,,| A man wearing an apron works in a crude , makeshift lab .,,,,,,,,| A man in an apron is using shop equipment .,,,,,,,,,| Two men cleaning dishes .,,,,,,,,,
.\datasets\images\4258465084.jpg| A man is reading a newspaper while standing on a ladder with his head through a hole in the ceiling while a Mexican puppet hangs nearby .,,,,,,,,,| A man standing on a ladder with his head above the ceiling panels and a puppet dangling in the foreground .,,,,,,,,,| A electrician fixing or replacing lights in a office building wearing jeans and a black shirt .,,,,,,,,,| An electrician working on lights , possibly air conditioning ducts in an office building .,,,,,,,,| Man on ladder reading while his head is inside a ceiling panel .,,,,,,,,,
.\datasets\images\4259457716.jpg| Two people wearing hats fish in a harbor , off the dock .,,,,,,,,| Two boys are fishing on a pier next to a boat dock .,,,,,,,,,| A fisherman with his friend is setting up his pole .,,,,,,,,,| Two people fishing by a boat on the dock .,,,,,,,,,| Two people fishing beside a boat .,,,,,,,,,
.\datasets\images\4259870068.jpg| Spectators sit by the sidewalk as a man riding a white horse comes by .,,,,,,,,,| A man rides a horse down the street as a crowd watches .,,,,,,,,,| Caviler does rope tricks on horseback for parade .,,,,,,,,,| A man is riding a horse in an event .,,,,,,,,,| A man rides a horse in a parade .,,,,,,,,,
.\datasets\images\4260403844.jpg| A man cuts a block of ice with a chainsaw while standing in front of a red building .,,,,,,,,,| A man in the snow on a ramp working on an ice sculpture .,,,,,,,,,| A man uses a chainsaw to sculpt a phallic ice sculpture .,,,,,,,,,| A man uses a chainsaw to make an ice sculpture .,,,,,,,,,| A man with a saw is creating an ice sculpture .,,,,,,,,,
.\datasets\images\4260947199.jpg| Man in heavy black coat smoking cigar standing near woman in brown jacket with a piece of paper in her hand,,,,,,,,,| A man wearing a black coat and a beanie hat standing on a street while other people walk down the street .,,,,,,,,,| A man , dressed in a black coat , is standing on a busy street .,,,,,,,| A man standing on a street at night with a shopping bag .,,,,,,,,,| Shady man waiting for someone .,,,,,,,,,
.\datasets\images\4262509387.jpg| Dressed in a sharp suit , the head of the museum 's security team , looks like an ordinary museum visitor as he guards its most expensive painting .,,,,,,,| A older man in a suit standing next to a large painting of a ship in rocky water under a cloudy sky .,,,,,,,,,| A man in a suit standing next to a large painting surrounded by a large gold frame .,,,,,,,,,| A balding man in a suit and tie stands beside a large painting of a rough sea .,,,,,,,,,| Museum security standing guard besides a giant painting .,,,,,,,,,
.\datasets\images\4262692609.jpg| A man with sunglasses resting on his forehead holds out his hand to another passenger on a train .,,,,,,,,,| Many friendly riders in a bus enjoying each others company .,,,,,,,,,| A group of people are riding public transportation .,,,,,,,,,| A group of people on a bus or a train car .,,,,,,,,,| A group of people are sitting on a bus .,,,,,,,,,
.\datasets\images\4262694145.jpg| A young woman with brown hair and an elderly man with gray hair and a sweater jump in the air on a snowy hill with snowshoes on their feet .,,,,,,,,,| Two people are jumping on a snowy hill with a forest in the background .,,,,,,,,,| Two people wearing snowshoes jump into the air to pose for a photo .,,,,,,,,,| Their are two people one young and one older and they are skiing .,,,,,,,,,| A man and a woman leaping in the snow and wearing snowshoes .,,,,,,,,,
.\datasets\images\42637987.jpg| A man and a dog are sitting on a park bench with several people walking down the path that runs along side it .,,,,,,,,,| A man and a dog on a park bench in the foreground , with a group of walking people in the distance .,,,,,,,,| A man sits on a bench in the park with a dog , while others walk nearby .,,,,,,,,| People sit on a park bench while others jog on a path .,,,,,,,,,| The man sits with his dog on a bench in a park .,,,,,,,,,
.\datasets\images\4265242435.jpg| A man with a cowboy hat is riding a horse that is jumping .,,,,,,,,,| A cowboy riding on his horse that is jumping in the air .,,,,,,,,,| A cowboy balances on his horse in a rodeo .,,,,,,,,,| Man wearing a cowboy hat riding a horse .,,,,,,,,,| A horse bucking a cowboy in a rodeo,,,,,,,,,
.\datasets\images\4266278775.jpg| A child wearing a red coat , white ski cap , and multicolored scarf looks on in front of a wooded snow covered background .,,,,,,,| A teen with braces is caught off guard by the camera while walking in the snow .,,,,,,,,,| A girl in a white knit hat and winter gear rubs her tongue over her braces .,,,,,,,,,| a young girl in a white hat looks towards the camera with snow around her .,,,,,,,,,| Outside in the winter , the girl in red runs her tongue over her teeth .,,,,,,,,
.\datasets\images\4267206607.jpg| A man and woman are having drinks at a counter whose wall decorated with vintage black and white photos .,,,,,,,,,| A man and a woman discussing something over drinks at a bar .,,,,,,,,,| A man and a woman at a bar discussing interesting topics .,,,,,,,,,| A man and woman are sitting down and facing each other .,,,,,,,,,| A woman and a man are talking at a bar .,,,,,,,,,
.\datasets\images\4267614055.jpg| Child plays with pigeon in busy public area while group of people watch him play .,,,,,,,,,| A child is pushing or kicking a bird with his foot .,,,,,,,,,| A young person has their foot under a bird 's wing .,,,,,,,,,| A young boy trying to kick a pigeon in park .,,,,,,,,,| A young boy chases after a bird .,,,,,,,,,
.\datasets\images\4269551560.jpg| Firefighter Connett of the Ossian Fire Department climbs a ladder amid smoke and rubble .,,,,,,,,,| a fireman climbing on charred ceiling beams of a burned out structure .,,,,,,,,,| A fireman is on a ladder leaning on a charred and smoking house .,,,,,,,,,| A firefighter is shown trying to climb into some debris .,,,,,,,,,| A fireman in action during an intense fire .,,,,,,,,,
.\datasets\images\4269882745.jpg| A man with dark hair and a white top is walking toward a bird on a boardwalk .,,,,,,,,,| Pelican raising its wings and walking toward man in white shirt .,,,,,,,,,| A man with a white tank top feeding a seagull on the pier .,,,,,,,,,| A man in a white shirt is approaching a seagull .,,,,,,,,,| A man and a pelican on a boardwalk .,,,,,,,,,
.\datasets\images\427082246.jpg| a man wearing a yellow sweater playing with a black dog in a grassy field,,,,,,,,,| A man in a yellow sweatshirt and black pants plays with a black poodle .,,,,,,,,,| A man wearing a yellow shirt is playing with his black poodle .,,,,,,,,,| Man in yellow jacket teaching his black dog to do a trick .,,,,,,,,,| a man in a yellow shirt training a black poodle,,,,,,,,,
.\datasets\images\4271121531.jpg| A girl in a butterfly dress waves to the camera while riding along in a parade .,,,,,,,,,| A girl dressed up as a butterfly , waving at the camera .,,,,,,,,| A butterfly costumed girl waves at the crowd .,,,,,,,,,| A young girl wears a butterfly costume .,,,,,,,,,| A girl dressed up as a butterfly .,,,,,,,,,
.\datasets\images\427355665.jpg| An Asian woman , shown from behind , plays what appears to be an oboe , but is positioned as a flute .,,,,,,| A woman with dark hair in a ponytail is reading sheet music while playing an instrument .,,,,,,,,,| A young girl plays the flute as she looks down at a book while reading the notes .,,,,,,,,,| Girl in purple shirt is playing a musical instrument with other musicians .,,,,,,,,,| This is a woman playing her flute with sheet music in front of her .,,,,,,,,,
.\datasets\images\4273711559.jpg| A man in a green shirt is talking on the phone and resting his leg on a piece of machinery .,,,,,,,,,| A man in a green t-shirt and jeans is talking on a cellphone next to some heavy equipment .,,,,,,,,,| Male construction worker on his cellphone with one foot on his yellow tractor .,,,,,,,,,| A worker rests his foot on the back of a trailer .,,,,,,,,,| Worker guy on a cellphone break .,,,,,,,,,
.\datasets\images\4274269186.jpg| there are 6 horses riding on a track field with mountains in the background and people in the foreground watching .,,,,,,,,,| Spectators are watching horses and their riders on a fenced path with a pond behind the path .,,,,,,,,,| A group of spectators is watching a brown horses race , with a pond in the background .,,,,,,,,| Eleven spectators are watching three race horses on a dirt track .,,,,,,,,,| Multiple people are horseback riding on a track .,,,,,,,,,
.\datasets\images\427430186.jpg| A blond-haired girl wearing a white and brown shit is blowing a bubble with her gum .,,,,,,,,,| A young girl sporting a pink and brown shirt blows a bubble with gum .,,,,,,,,,| A young girl blows a bubble with her chewing gum .,,,,,,,,,| I young girl is blowing a bubble with gum .,,,,,,,,,| Girl blowing a bubble from her mouth .,,,,,,,,,
.\datasets\images\427936315.jpg| The large brown dog is running through the grass to catch a red Frisbee .,,,,,,,,,| A brown dog is chasing a red Frisbee across a grassy field .,,,,,,,,,| A dog surrounded by trees runs to catch a Frisbee .,,,,,,,,,| A dog leaps in the air to catch a red Frisbee .,,,,,,,,,| a dog runs for a red Frisbee .,,,,,,,,,
.\datasets\images\4280369285.jpg| A dirt track car with a large red bull logo on the side is driving fast on a dirt track .,,,,,,,,,| A truck driving fast over some dirt with dust kicked up all over the place .,,,,,,,,,| A group people are racing a car with sand in the background .,,,,,,,,,| A vehicle races creating a sandy dusty cloud .,,,,,,,,,| The car left a huge cloud of smoke .,,,,,,,,,
.\datasets\images\428168186.jpg| A man is on stage in front of a crowd of people sitting in chairs .,,,,,,,,,| A group of people listen to man standing at a podium .,,,,,,,,,| Speaker talking in front of large group of people .,,,,,,,,,| People attending a conference with a lecturer .,,,,,,,,,| Several people paying attention to a lecture .,,,,,,,,,
.\datasets\images\4282604922.jpg| People are waiting on line to purchase food and other people are waiting on line to put extras onto their purchased food .,,,,,,,,,| People standing in front of a gray building with a sign that reads ' Tickets Available Here ' .,,,,,,,,,| People getting food at a walk up restaurant window .,,,,,,,,,| People standing in line at a Pizza Pizza place .,,,,,,,,,| People wearing hats are ordering food outside .,,,,,,,,,
.\datasets\images\428485639.jpg| A young girl in a blue skirt is propping herself up on bars of a metal structure outside .,,,,,,,,,| A little girl in a blue outfit is climbing on metal railings in the street .,,,,,,,,,| A little girl wearing a navy skirt is climbing on some silver poles .,,,,,,,,,| A little girl in navy blue is posing on a railing .,,,,,,,,,| A girl straddles a bike rack on a city street .,,,,,,,,,
.\datasets\images\4287766241.jpg| A man and woman , both in black , dance outside of a restaurant while an older man is on a microphone .,,,,,,,| One man has a microphone , while a nearby couple dances .,,,,,,,,| A couple is ballroom dancing in an open room .,,,,,,,,,| A couple of dancers are doing the tango .,,,,,,,,,| A couple dances while a man sings,,,,,,,,,
.\datasets\images\4289135695.jpg| A waitress in a mexican style restaurant is serving a group of people at one of her tables .,,,,,,,,,| A waitress in a white t-shirt serving guests at a restaurant .,,,,,,,,,| A waitress is serving some women at a restaurant .,,,,,,,,,| A waitress is serving customers at a restaurant .,,,,,,,,,| A woman attends to customers at a table .,,,,,,,,,
.\datasets\images\428979011.jpg| An asian long-haired man wearing a yellow hat & long-sleeved shirt talking on a microphone,,,,,,,,,| A guy with a yellow outfit on standing behind a microphone under a tent .,,,,,,,,,| A man dressed in yellow is speaking on the microphone .,,,,,,,,,| A man dressed in yellow speaks into a microphone .,,,,,,,,,| A guy in a yellow hat talking into a microphone .,,,,,,,,,
.\datasets\images\4294393495.jpg| Three men dressed in suits are standing in front of a India Inc. sign .,,,,,,,,,| Three professional men in suits stand around talking .,,,,,,,,,| A white man is speaking with two Indian businessmen .,,,,,,,,,| Three men talking at an entrepreneurs convention .,,,,,,,,,| Three men in business clothing talking .,,,,,,,,,
.\datasets\images\429499185.jpg| Three people sitting on a table , one woman is speaking , and people are listening to them .,,,,,,,| A man sits in a suit between two woman at a presentation with his hand on his chin .,,,,,,,,,| A group of people sitting in front of a table of three people in a conference room .,,,,,,,,,| Three people sit at a table in front of a crowd of people .,,,,,,,,,| Three people giving a presentation before a crowd .,,,,,,,,,
.\datasets\images\42975444.jpg| A woman crafts a drawer with cardboard laid down in the background .,,,,,,,,,| A lady in a white tank and shorts fixing a wooden drawer .,,,,,,,,,| A young woman assembles a wooden cabinet on the floor .,,,,,,,,,| A woman is putting together a wooden object .,,,,,,,,,| Woman putting together wooden shelf .,,,,,,,,,
.\datasets\images\4299131799.jpg| Two People , one with a walking stick , are walking down the nature trail away from the camera .,,,,,,,| Two elderly people are walking down a path lined with green grass and shrubs .,,,,,,,,,| An old couple facing away from the camera walk down a garden path .,,,,,,,,,| Two elderly people are taking a walk down a tree lined path .,,,,,,,,,| Old couple , out taking a stroll , One uses a cain .,,,,,,,
.\datasets\images\4299926208.jpg| The owner and chef , wearing a black polo t-shirt and black pants , of YumYumBowls , a Thai food truck painted from red to yellow , standing at the side of his truck .,,,,,| A man in a black shirt leans again the outside of a truck selling Thai food .,,,,,,,,,| A man stands outside of a mobile Thai food truck .,,,,,,,,,| A man ordering Thai food from a truck .,,,,,,,,,| A man outside of a mobile lunch van .,,,,,,,,,
.\datasets\images\430173345.jpg| The dog is concerned with a purple object lying in an uncut field .,,,,,,,,,| A brown dog possessively grabs a purple Frisbee in a field .,,,,,,,,,| A brown dog running to catch a Frisbee in a field of grass .,,,,,,,,,| A brown dog with a purple Frisbee in its mouth .,,,,,,,,,| A dog in a field with a Frisbee .,,,,,,,,,
.\datasets\images\4301874954.jpg| A blond man with a leather jacket playing a guitar and singing .,,,,,,,,,| A blond-haired guitar singer performing in a music store .,,,,,,,,,| A musician plays guitar in a record store .,,,,,,,,,| A blond man is singing and playing guitar .,,,,,,,,,| A man is singing and playing a guitar .,,,,,,,,,
.\datasets\images\"4301986594.jpg| A man holds up a small sticker that says "" I am a photographer "," not a terrorist "" while standing among a large group of protesters .",,,,,,,,| A man is holding a souvenir that says "" I 'm a photographer not a terrorist "" at what appears to be a rally somewhere in Europe .",,,,,,,,,| A man is holding up a card that says "" I 'm a photographer not a terrorist "" overlooking a crowd of people .",,,,,,,,,| A man holds up a tiny sign reading "" I 'm a photographer not a terrorist . """,,,,,,,,,| A man stands close to a crowd of people holding a card .,,,,,,,,,
.\datasets\images\4302494415.jpg| A blond woman with a pink headband and pink shorts sits next to a dark-haired man with a black shirt while looking through zip lock bags of small items .,,,,,,,,,| A man and a woman sitting on the floor cross-legged with full ziplock bags .,,,,,,,,,| A man and a woman are sitting on the floor , working with craft items .,,,,,,,,| Two people are sitting on the floor looking through zip lock bags .,,,,,,,,,| A man and woman are sitting on the floor looking through baggies .,,,,,,,,,
.\datasets\images\4303640101.jpg| A child standing on a rug , wearing black sunglasses and a blue striped shirt is pointing at something .,,,,,,,,| A young boy with tinted sunglasses and a blue striped shirt is leaning against a table .,,,,,,,,,| A young boy leaning against a table waring large glasses and looking to make a speech .,,,,,,,,,| A little kid wears some funny glasses that are way too big for his face .,,,,,,,,,| A little boy wearing sunglasses and pointing .,,,,,,,,,
.\datasets\images\4303898422.jpg| A man with dark hair and glasses is holding many packages of something .,,,,,,,,,| A man grins holding up a handful of red packets spread out like cards .,,,,,,,,,| A man with glasses is smiling and holding packets in an office .,,,,,,,,,| A man wearing a blue jacket happily displays his product .,,,,,,,,,| An excited man is holding six objects .,,,,,,,,,
